"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2015","European Union (current composition)","Total","Number","From 15 to 29 years","88,988,767","be"
"2015","European Union (current composition)","Total","Number","Less than 15 years","79,309,576","be"
"2015","European Union (before the accession of Croatia)","Total","Number","From 15 to 29 years","88,233,404","be"
"2015","European Union (before the accession of Croatia)","Total","Number","Less than 15 years","78,688,526","be"
"2015","Euro area (19 countries)","Total","Number","From 15 to 29 years","56,949,462","b"
"2015","Euro area (19 countries)","Total","Number","Less than 15 years","51,758,113","b"
"2015","Euro area (18 countries)","Total","Number","From 15 to 29 years","56,376,560","b"
"2015","Euro area (18 countries)","Total","Number","Less than 15 years","51,332,651","b"
"2015","Belgium","Total","Number","From 15 to 29 years","2,040,038",""
"2015","Belgium","Total","Number","Less than 15 years","1,910,746",""
"2015","Bulgaria","Total","Number","From 15 to 29 years","1,204,894",""
"2015","Bulgaria","Total","Number","Less than 15 years","998,196",""
"2015","Czech Republic","Total","Number","From 15 to 29 years","1,784,011",""
"2015","Czech Republic","Total","Number","Less than 15 years","1,601,045",""
"2015","Denmark","Total","Number","From 15 to 29 years","1,076,302",""
"2015","Denmark","Total","Number","Less than 15 years","962,647",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Number","From 15 to 29 years","13,819,942",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Number","Less than 15 years","10,686,723",""
"2015","Estonia","Total","Number","From 15 to 29 years","239,824","b"
"2015","Estonia","Total","Number","Less than 15 years","209,658","b"
"2015","Ireland","Total","Number","From 15 to 29 years","871,041",""
"2015","Ireland","Total","Number","Less than 15 years","1,001,406",""
"2015","Greece","Total","Number","From 15 to 29 years","1,723,902",""
"2015","Greece","Total","Number","Less than 15 years","1,577,918",""
"2015","Spain","Total","Number","From 15 to 29 years","7,112,935",""
"2015","Spain","Total","Number","Less than 15 years","7,049,079",""
"2015","France","Total","Number","From 15 to 29 years","11,827,955","b"
"2015","France","Total","Number","Less than 15 years","12,346,073","b"
"2015","France (metropolitan)","Total","Number","From 15 to 29 years",":",""
"2015","France (metropolitan)","Total","Number","Less than 15 years",":",""
"2015","Croatia","Total","Number","From 15 to 29 years","755,363",""
"2015","Croatia","Total","Number","Less than 15 years","621,050",""
"2015","Italy","Total","Number","From 15 to 29 years","9,228,985",""
"2015","Italy","Total","Number","Less than 15 years","8,383,122",""
"2015","Cyprus","Total","Number","From 15 to 29 years","190,882",""
"2015","Cyprus","Total","Number","Less than 15 years","139,206",""
"2015","Latvia","Total","Number","From 15 to 29 years","357,099",""
"2015","Latvia","Total","Number","Less than 15 years","297,720",""
"2015","Lithuania","Total","Number","From 15 to 29 years","572,902",""
"2015","Lithuania","Total","Number","Less than 15 years","425,462",""
"2015","Luxembourg","Total","Number","From 15 to 29 years","107,488",""
"2015","Luxembourg","Total","Number","Less than 15 years","93,747",""
"2015","Hungary","Total","Number","From 15 to 29 years","1,760,450",""
"2015","Hungary","Total","Number","Less than 15 years","1,427,186",""
"2015","Malta","Total","Number","From 15 to 29 years","88,569",""
"2015","Malta","Total","Number","Less than 15 years","62,834",""
"2015","Netherlands","Total","Number","From 15 to 29 years","3,120,699",""
"2015","Netherlands","Total","Number","Less than 15 years","2,827,066",""
"2015","Austria","Total","Number","From 15 to 29 years","1,580,064",""
"2015","Austria","Total","Number","Less than 15 years","1,226,013",""
"2015","Poland","Total","Number","From 15 to 29 years","7,407,402",""
"2015","Poland","Total","Number","Less than 15 years","5,714,790",""
"2015","Portugal","Total","Number","From 15 to 29 years","1,671,986",""
"2015","Portugal","Total","Number","Less than 15 years","1,490,241",""
"2015","Romania","Total","Number","From 15 to 29 years","3,615,507","e"
"2015","Romania","Total","Number","Less than 15 years","3,081,084","e"
"2015","Slovenia","Total","Number","From 15 to 29 years","335,499",""
"2015","Slovenia","Total","Number","Less than 15 years","304,310",""
"2015","Slovakia","Total","Number","From 15 to 29 years","1,071,419",""
"2015","Slovakia","Total","Number","Less than 15 years","830,181",""
"2015","Finland","Total","Number","From 15 to 29 years","988,233",""
"2015","Finland","Total","Number","Less than 15 years","896,608",""
"2015","Sweden","Total","Number","From 15 to 29 years","1,854,520",""
